ID,Country,Use,Typology,From (year),To (year),Energy class,Construction type,Gross floor area (m2),Net floor (heated) area (m2),Net cooled area (m2),Volume (m3),Number of storeys,Number of dwellings or units,Average number of habitants (per dwelling),Number of buildings in stock (31.12.2022),Number of refurbished buildings (light),Number of refurbished buildings (medium),Number of refurbished buildings (deep),"Number of protected buildings (""Denkmalschutz"")",Share of occupied dwellings or units,Share of vacant dwellings or units,Share of secondary dwellings or units,Space heating demand Existing state (kWh/m2a),Space heating demand Light refurbishment (kWh/m2a),Space heating demand Medium refurbishment (kWh/m2a),Space heating demand Deep refurbishment (kWh/m2a),Space cooling demand (kWh/m2a),Energy demand for domestic hot water (kWh/m2GFAa),Final energy consumption space heating - Existing state (kWh/m2a),Final energy consumption space heating - Light refurbishment (kWh/m2a),Final energy consumption space heating - Medium refurbishment (kWh/m2a),Final energy consumption space heating - Deep refurbishment (kWh/m2a),Final energy consumption space cooling (kWh/m2Aa),Final energy consumption domestic hot water (kWh/m2NFAa),Electricity demand  (excl. heating) - B6.1 (kWh/m2NFAa),Electricity demand - B6.2 & B6.3 (kWh/m2NFAa),Energy demand - B8 (kWh/building),Water use per building per year (m3),Element type,Area (m2),ID component (as-built),U-value default (W/m2K),ID component (light refurbishment),U-value light (W/m2K),ID component (medium refurbishment),U-value medium (W/m2K),ID component (deep refurbishment),U-value deep (W/m2K),Energy carriers (current),ID component (current),Share (current),Comment,Energy carriers (exchange),ID component (exchange),Share (exchange)
AT-SFH-1991-2000-11,AT,Residential,Single-family house (SFH),1991,2000,Standard,Masonry,149.9,119.9,2.713010685,502.1,2,1,2,238917,30104,16724,2867,0,0.87398374,0.12195122,0.004065041,118,112.1,87.5,65,30.1,19,158,151,118,88,5.12,28,3.4,30.6,7177.068659,84.8,Foundation,74.95,Efo_01_a,0.384615385,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.3,Adapted to fit NEA,district heating,DIH_01_r,0.038
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,77.57000657,EAm_04_a,0.384615385,,,,,,,pellets central heating,PEL_01_r,0.3,Adapted to fit NEA,pellets central heating,PEL_01_r,0.462
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,74.95,KDo_01_a,0.384615385,,,REN_02_a,0.14,REN_02_a,0.14,"oil central heating, standard boiler",OIL_01_r,0.25,Adapted to fit NEA,"pellets central heating, with solar thermal",PEL_01_s,0.029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,243.38,AWm_05_a,0.332340373,,,REN_01_a,0.23,REN_01_a,0.16,heat pump,HEP_01_r,0.15,Adapted to fit NEA,"electric direct heating, with solar thermal",ELE_01_s,0.029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",39.34875,IWm_01_a,,,,,,,,,,,,heat pump,HEP_01_r,0.442
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",65.58125,IWI_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,74.95,GDm_04_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,74.97,DAI_01_a,0.28,REN_07_a,0.13,REN_07_a,0.13,REN_07_a,0.07,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,48.16,Win_02_a,1.4,,,Win_01_p,1.4,Win_02_p,1.3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,1-8,Doo_01_r,,,,Doo_01_r,1-0,Doo_01_r,1-0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanitary installation,2-3-1-2-1-6-9-8-38-30-38-30,SAN_01_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electrical installation,152-2531-782-59,ELI_01_r,,,,,,,,,,,,,,
AT-SFH-2001-2009-11,AT,Residential,Single-family house (SFH),2001,2009,Standard,Masonry,191.8,153.4,4.337202381,623.9,2,1,3,192544,0,0,0,0,0.865800866,0.12987013,0.004329004,107,0,0,0,27.6,19,144,0,0,0,6.55,28,3.4,30.6,10765.60299,127.2,Foundation,95.9,Efu_12_a,0.384615385,,,,,,,electric direct heating,ELE_01_r,0.4,,district heating,DIH_01_r,0.038
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,87.74397666,EAm_02_a,0.384615385,,,,,,,pellets central heating,PEL_01_r,0.2,,pellets central heating,PEL_01_r,0.462
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,95.9,KDo_01_a,0.384615385,,,,,,,"oil central heating, condensing boiler",OIL_01_r,0.3,Adapted to fit NEA,"pellets central heating, with solar thermal",PEL_01_s,0.029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,258.86,AWm_08_a,0.27,,,,,,,heat pump,HEP_01_r,0.1,Adapted to fit NEA,"electric direct heating, with solar thermal",ELE_01_s,0.029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",50.3475,IWm_01_a,,,,,,,,,,,,heat pump,HEP_01_r,0.442
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",83.9125,IWI_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,95.9,GDm_04_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,95.9,DAI_01_a,0.17,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,29.5,Win_02_a,1.1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,1-8,Doo_01_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanitary installation,2-3-1-2-1-8-11-10-48-38-48-38,SAN_01_r,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electrical installation,195-3238-1000-76,ELI_01_r,,,,,,,,,,,,,,
AT-SFH-2010-2022-11,AT,Residential,Single-family house (SFH),2010,2022,Standard,Masonry,191.8,153.4,8.597640118,632.9,2,1,3,122756,0,0,0,0,0.829187396,0.165837479,0.004975124,92,0,0,0,27.6,19,123,0,0,0,4.69,28,3.4,30.6,10765.60299,127.2,Foundation,95.9,Efu_12_a,0.384615385,,,,,,,"oil central heating, condensing boiler",OIL_01_r,0.01,,district heating,DIH_01_r,0.038
