ID,Country,Use,Typology,From (year),To (year),Energy class,Construction type,Gross floor area (m2),Net floor (heated) area (m2),Net cooled area (m2),Volume (m3),Number of storeys,Number of dwellings or units,Average number of habitants (per dwelling),Number of buildings in stock (31.12.2022),Number of refurbished buildings (light),Number of refurbished buildings (medium),Number of refurbished buildings (deep),"Number of protected buildings (""Denkmalschutz"")",Share of occupied dwellings or units,Share of vacant dwellings or units,Share of secondary dwellings or units,Space heating demand Existing state (kWh/m2a),Space heating demand Light refurbishment (kWh/m2a),Space heating demand Medium refurbishment (kWh/m2a),Space heating demand Deep refurbishment (kWh/m2a),Space cooling demand (kWh/m2a),Energy demand for domestic hot water (kWh/m2GFAa),Final energy consumption space heating - Existing state (kWh/m2a),Final energy consumption space heating - Light refurbishment (kWh/m2a),Final energy consumption space heating - Medium refurbishment (kWh/m2a),Final energy consumption space heating - Deep refurbishment (kWh/m2a),Final energy consumption space cooling (kWh/m2Aa),Final energy consumption domestic hot water (kWh/m2NFAa),Electricity demand  (excl. heating) - B6.1 (kWh/m2NFAa),Electricity demand - B6.2 & B6.3 (kWh/m2NFAa),Energy demand - B8 (kWh/building),Water use per building per year (m3),Element type,Area (m2),ID component (as-built),U-value default (W/m2K),ID component (light refurbishment),U-value light (W/m2K),ID component (medium refurbishment),U-value medium (W/m2K),ID component (deep refurbishment),U-value deep (W/m2K),Energy carriers (current),ID component (current),Share (current),Comment,Energy carriers (exchange),ID component (exchange),Share (exchange)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",327.4095513,IWm_64_a,,,,,,,,district heating,DIH_01_r,0.3,,heat pump,HEP_01_r,0.582
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",545.6613693,IWm_73_a,,,,,,,,electric direct heating,ELE_01_r,0.16,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,826.7717051,GDm_82_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,140.5511899,DAI_74_a,0.65,REN_05_a,0.18,REN_05_a,0.18,REN_05_a,0.09,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,168.6614278,AWI_81_a,0.4,,,Win_01_p,1.4,Win_02_p,1.3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,1-22,Doo_05_r,,,,Doo_04_r,1-0,Doo_04_r,1-0,,,,,,,
AT-OFF-1990-1999-11,AT,Non-residential,Office (OFF),1990,1999,Standard,Steel,1058.823529,900,200,3176.470588,6,10,0,3320,279,82,40,0,0.882352941,0.117647059,0,47.63,45.2485,38.8737163,31.87448965,63.5,4.7,60.49,57.4655,49.36953808,40.48053494,40.64,4.88,44.82,79.68,0,1530,Foundation,176.4705882,Efo_80_a,0.65,,,,,,,"oil central heating, condensing boiler",OIL_01_r,0.068887069,,district heating,DIH_01_r,0.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,357.0799218,EAm_80_a,3.59,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.15,,pellets central heating,PEL_01_r,0.122
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,176.4705882,GDm_82_a,0.5,,,REN_02_a,0.1325,REN_02_a,0.1325,wood central heating,PEL_01_r,0.27,,"pellets central heating, with solar thermal",PEL_01_s,0.021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,848.785692,AWI_81_a,0.4,,,REN_01_a,0.23,REN_01_a,0.16,heat pump,HEP_01_r,0.05,,"electric direct heating, with solar thermal",ELE_01_s,0.021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",349.4202557,IWm_64_a,,,,,,,,district heating,DIH_01_r,0.3,,heat pump,HEP_01_r,0.582
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",582.3444502,IWm_73_a,,,,,,,,electric direct heating,ELE_01_r,0.16,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,882.3529412,GDm_82_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,150,DAI_74_a,0.3,REN_05_a,0.1325,REN_05_a,0.1325,REN_05_a,0.075,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,180,AWI_81_a,0.4,,,Win_01_p,1.4,Win_02_p,1.3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,1-22,Doo_05_r,,,,Doo_04_r,1-0,Doo_04_r,1-0,,,,,,,
AT-OFF-2000-2010-21,AT,Non-residential,Office (OFF),2000,2010,Standard,Concrete,734.1176471,624,113.4545455,2202.352941,6,5,0,6477,0,0,0,0,0.909090909,0.090909091,0,18.52,0,0,0,57.79,4.7,23.53,0,0,0,36.98,4.88,44.82,79.68,0,1060.8,Foundation,122.3529412,Efu_01_a,0.345961538,,,,,,,"oil central heating, condensing boiler",OIL_01_r,0.068887069,,district heating,DIH_01_r,0.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,297.328453,EAm_02_a,0.345961538,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.15,,pellets central heating,PEL_01_r,0.122
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,122.3529412,GDm_82_a,0.45,,,,,,,wood central heating,PEL_01_r,0.27,,"pellets central heating, with solar thermal",PEL_01_s,0.021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,731.8352783,AWI_00_a,0.3,,,,,,,heat pump,HEP_01_r,0.05,,"electric direct heating, with solar thermal",ELE_01_s,0.021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",242.2647106,IWm_64_a,,,,,,,,district heating,DIH_01_r,0.3,,heat pump,HEP_01_r,0.582
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",403.7588188,IWI_01_a,,,,,,,,electric direct heating,ELE_01_r,0.16,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,611.7647059,GDm_82_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,104,DAm_08_a,0.2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,124.8,Win_02_a,1.3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,1-22,Doo_05_r,,,,,,,,,,,,,,
AT-OFF-2011-2022-11,AT,Non-residential,Office (OFF),2011,2022,Standard,Masonry,676.7460472,575.2341401,115.046828,2030.238142,6,10,0,4837,0,0,0,0,0.857142857,0.142857143,0,14.69,0,0,0,56.59,4.7,18.65,0,0,0,36.22,4.88,44.82,79.68,0,977.8980382,Foundation,112.7910079,Efu_01_a,0.388461538,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.8,,district heating,DIH_01_r,0.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,285.4739624,EAm_02_a,0.388461538,,,,,,,"gas central heating, condensing boiler, with solar thermal",GAS_01_s,0.04,,pellets central heating,PEL_01_r,0.122
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,112.7910079,KDu_01_a,0.4,,,,,,,district heating,DIH_01_r,0.13,,"pellets central heating, with solar thermal",PEL_01_s,0.021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,707.4343868,AWm_13_a,0.35,,,,,,,heat pump,HEP_01_r,0.03,,"electric direct heating, with solar thermal",ELE_01_s,0.021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",223.3316226,IWm_09_a,,,,,,,,,,,,heat pump,HEP_01_r,0.582
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",372.204899,IWI_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,563.9550393,GDm_05_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,95.87235668,DAm_08_a,0.191509434,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,115.046828,Win_01_a,1.4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,1-22,Doo_05_r,,,,,,,,,,,,,,
AT-OFF-2011-2022-21,AT,Non-residential,Office (OFF),2011,2022,Standard,Concrete,676.7460472,575.2341401,115.046828,2030.238142,6,10,0,4089,0,0,0,0,0.857142857,0.142857143,0,14.69,0,0,0,56.59,4.7,18.65,0,0,0,36.22,4.88,44.82,79.68,0,977.8980382,Foundation,112.7910079,Efu_01_a,0.388461538,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.8,,district heating,DIH_01_r,0.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,285.4739624,EAm_02_a,0.388461538,,,,,,,"gas central heating, condensing boiler, with solar thermal",GAS_01_s,0.04,,pellets central heating,PEL_01_r,0.122
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,112.7910079,KDu_01_a,0.4,,,,,,,district heating,DIH_01_r,0.13,,"pellets central heating, with solar thermal",PEL_01_s,0.021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,707.4343868,AWm_12_a,0.35,,,,,,,heat pump,HEP_01_r,0.03,,"electric direct heating, with solar thermal",ELE_01_s,0.021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",223.3316226,IWm_10_a,,,,,,,,,,,,heat pump,HEP_01_r,0.582
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",372.204899,IWI_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,563.9550393,GDm_05_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,95.87235668,DAm_08_a,0.191509434,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,115.046828,Win_01_p,1.4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,1-22,Doo_05_r,,,,,,,,,,,,,,
AT-OFF-2011-2022-31,AT,Non-residential,Office (OFF),2011,2022,Standard,Wood massive,676.7460472,575.2341401,115.046828,2030.238142,6,10,0,1048,0,0,0,0,0.857142857,0.142857143,0,14.69,0,0,0,56.59,4.7,18.65,0,0,0,36.22,4.88,44.82,79.68,0,977.8980382,Foundation,112.7910079,Efu_01_a,0.388461538,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.8,,district heating,DIH_01_r,0.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,285.4739624,EAm_02_a,0.388461538,,,,,,,"gas central heating, condensing boiler, with solar thermal",GAS_01_s,0.04,,pellets central heating,PEL_01_r,0.122
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,112.7910079,KDu_01_a,0.4,,,,,,,district heating,DIH_01_r,0.13,,"pellets central heating, with solar thermal",PEL_01_s,0.021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,707.4343868,AWm_09_a,0.35,,,,,,,heat pump,HEP_01_r,0.03,,"electric direct heating, with solar thermal",ELE_01_s,0.021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",223.3316226,IWm_06_a,,,,,,,,,,,,heat pump,HEP_01_r,0.582
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",372.204899,IWI_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,563.9550393,GDh_03_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,95.87235668,DAh_02_a,0.191509434,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,115.046828,Win_01_m,1.4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,1-22,Doo_05_r,,,,,,,,,,,,,,
AT-OFF-2011-2022-12,AT,Non-residential,Office (OFF),2011,2022,Advanced,Masonry,676.7460472,575.2341401,115.046828,2030.238142,6,10,0,3518,0,0,0,0,0.857142857,0.142857143,0,14.69,0,0,0,56.59,4.7,18.65,0,0,0,36.22,4.88,44.82,79.68,0,977.8980382,Foundation,112.7910079,Efu_01_a,0.2375,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.8,,district heating,DIH_01_r,0.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,285.4739624,EAm_02_a,0.2375,,,,,,,"gas central heating, condensing boiler, with solar thermal",GAS_01_s,0.04,,pellets central heating,PEL_01_r,0.122
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,112.7910079,KDu_01_a,0.2375,,,,,,,district heating,DIH_01_r,0.13,,"pellets central heating, with solar thermal",PEL_01_s,0.021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,707.4343868,AWm_13_a,0.17,,,,,,,heat pump,HEP_01_r,0.03,,"electric direct heating, with solar thermal",ELE_01_s,0.021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",223.3316226,IWm_09_a,,,,,,,,,,,,heat pump,HEP_01_r,0.582
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",372.204899,IWI_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,563.9550393,GDm_05_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,95.87235668,DAm_08_a,0.1675,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,115.046828,Win_02_a,1.2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,1-22,Doo_05_r,,,,,,,,,,,,,,
AT-OFF-2011-2022-22,AT,Non-residential,Office (OFF),2011,2022,Advanced,Concrete,676.7460472,575.2341401,115.046828,2030.238142,6,10,0,2974,0,0,0,0,0.857142857,0.142857143,0,14.69,0,0,0,56.59,4.7,18.65,0,0,0,36.22,4.88,44.82,79.68,0,977.8980382,Foundation,112.7910079,Efu_01_a,0.2375,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.8,,district heating,DIH_01_r,0.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,285.4739624,EAm_02_a,0.2375,,,,,,,"gas central heating, condensing boiler, with solar thermal",GAS_01_s,0.04,,pellets central heating,PEL_01_r,0.122
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,112.7910079,KDu_01_a,0.2375,,,,,,,district heating,DIH_01_r,0.13,,"pellets central heating, with solar thermal",PEL_01_s,0.021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,707.4343868,AWm_12_a,0.17,,,,,,,heat pump,HEP_01_r,0.03,,"electric direct heating, with solar thermal",ELE_01_s,0.021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",223.3316226,IWm_10_a,,,,,,,,,,,,heat pump,HEP_01_r,0.582
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",372.204899,IWI_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,563.9550393,GDm_05_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,95.87235668,DAm_08_a,0.1675,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,115.046828,Win_02_a,1.2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,1-22,Doo_05_r,0,,,,,,,,,,,,,
AT-OFF-2011-2022-32,AT,Non-residential,Office (OFF),2011,2022,Advanced,Wood massive,676.7460472,575.2341401,115.046828,2030.238142,6,10,0,762,0,0,0,0,0.857142857,0.142857143,0,14.69,0,0,0,56.59,4.7,18.65,0,0,0,36.22,4.88,44.82,79.68,0,977.8980382,Foundation,112.7910079,Efu_01_a,0.2375,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.8,,district heating,DIH_01_r,0.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,285.4739624,EAm_02_a,0.2375,,,,,,,"gas central heating, condensing boiler, with solar thermal",GAS_01_s,0.04,,pellets central heating,PEL_01_r,0.122
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,112.7910079,KDu_01_a,0.2375,,,,,,,district heating,DIH_01_r,0.13,,"pellets central heating, with solar thermal",PEL_01_s,0.021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,707.4343868,AWm_09_a,0.17,,,,,,,heat pump,HEP_01_r,0.03,,"electric direct heating, with solar thermal",ELE_01_s,0.021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",223.3316226,IWm_06_a,,,,,,,,,,,,heat pump,HEP_01_r,0.582
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",372.204899,IWI_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,563.9550393,GDh_03_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,95.87235668,DAh_02_a,0.1675,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,115.046828,Win_02_m,1.2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,1-22,Doo_05_r,,,,,,,,,,,,,,
AT-OFF-2011-2022-13,AT,Non-residential,Office (OFF),2011,2022,Passive,Masonry,676.7460472,575.2341401,115.046828,2030.238142,6,10,0,440,0,0,0,0,0.857142857,0.142857143,0,14.69,0,0,0,56.59,4.7,18.65,0,0,0,36.22,4.88,44.82,79.68,0,977.8980382,Foundation,112.7910079,Efu_01_a,0.15,,,,,,,district heating,DIH_01_r,0.25,,district heating,DIH_01_r,0.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,285.4739624,EAm_02_a,0.16,,,,,,,"pellets central heating, with solar thermal",PEL_01_s,0.01,,"pellets central heating, with solar thermal",PEL_01_r,0.01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,112.7910079,KDu_01_a,0.15,,,,,,,"electric direct heating, with solar thermal",ELE_01_s,0.03,,"electric direct heating, with solar thermal",PEL_01_s,0.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,707.4343868,AWm_13_a,,,,,,,,heat pump,HEP_01_r,0.71,,heat pump,ELE_01_s,0.71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",223.3316226,IWm_09_a,,,,,,,,,,,,,HEP_01_r,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",372.204899,IWI_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,563.9550393,GDm_05_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,95.87235668,DAm_08_a,0.1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,115.046828,Win_02_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,1-22,Doo_05_r,,,,,,,,,,,,,,
AT-OFF-2011-2022-23,AT,Non-residential,Office (OFF),2011,2022,Passive,Concrete,676.7460472,575.2341401,115.046828,2030.238142,6,10,0,372,0,0,0,0,0.857142857,0.142857143,0,14.69,0,0,0,56.59,4.7,18.65,0,0,0,36.22,4.88,44.82,79.68,0,977.8980382,Foundation,112.7910079,Efu_01_a,0.15,,,,,,,district heating,DIH_01_r,0.25,,district heating,DIH_01_r,0.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,285.4739624,EAm_02_a,0.16,,,,,,,"pellets central heating, with solar thermal",PEL_01_s,0.01,,"pellets central heating, with solar thermal",PEL_01_s,0.01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,112.7910079,KDu_01_a,0.15,,,,,,,"electric direct heating, with solar thermal",ELE_01_s,0.03,,"electric direct heating, with solar thermal",ELE_01_s,0.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,707.4343868,AWm_12_a,0.12,,,,,,,heat pump,HEP_01_r,0.71,,heat pump,HEP_01_r,0.71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",223.3316226,IWm_10_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",372.204899,IWI_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,563.9550393,GDm_05_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,95.87235668,DAm_08_a,0.1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,115.046828,Win_02_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,1-22,Doo_05_r,,,,,,,,,,,,,,
AT-OFF-2011-2022-33,AT,Non-residential,Office (OFF),2011,2022,Passive,Wood massive,676.7460472,575.2341401,115.046828,2030.238142,6,10,0,96,0,0,0,0,0.857142857,0.142857143,0,14.69,0,0,0,56.59,4.7,18.65,0,0,0,36.22,4.88,44.82,79.68,0,977.8980382,Foundation,112.7910079,Efu_01_a,0.15,,,,,,,district heating,DIH_01_r,0.25,,district heating,DIH_01_r,0.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,285.4739624,EAm_02_a,0.16,,,,,,,"pellets central heating, with solar thermal",PEL_01_s,0.01,,"pellets central heating, with solar thermal",PEL_01_s,0.01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,112.7910079,KDu_01_a,0.15,,,,,,,"electric direct heating, with solar thermal",ELE_01_s,0.03,,"electric direct heating, with solar thermal",ELE_01_s,0.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,707.4343868,AWm_09_a,0.1,,,,,,,heat pump,HEP_01_r,0.71,,heat pump,HEP_01_r,0.71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",223.3316226,IWm_06_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",372.204899,IWI_01_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,563.9550393,GDh_03_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roof,95.87235668,DAh_02_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,115.046828,Win_02_m,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doors,1-22,Doo_05_r,,,,,,,,,,,,,,
AT-OTH-1850-1944-11,AT,Non-residential,Other non-residential building (OTH),1850,1944,Standard,Masonry,775.7921268,715.2803409,113.0774068,2327.37638,3,4,0,22591,1898,558,271,550,0.833333333,0.166666667,0,140.58,133.551,87.54243,54.33762494,79.69,4.71,178.54,169.613,111.1810034,69.01009785,51,4.9,89.1,0,0,22967.41332,Foundation,258.5973756,Efo_19_a,1.781428571,,,,,,,"oil central heating, condensing boiler",OIL_01_r,0.068887069,,district heating,DIH_01_r,0.294
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retaining walls,216.1281446,EAm_18_a,0.68,,,,,,,"gas central heating, condensing boiler",GAS_01_r,0.15,,pellets central heating,PEL_01_r,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground floor,258.5973756,KDo_18_a,0.99,,,REN_02_a,0.23,REN_02_a,0.20625,wood central heating,PEL_01_r,0.27,,"electric direct heating, with solar thermal",ELE_01_s,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,180.4110253,AWm_50_a,0.97,,,REN_01_a,0.231428571,REN_01_a,0.124285714,heat pump,HEP_01_r,0.05,,heat pump,HEP_01_r,0.691
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,External walls,360.8220506,AWm_51_a,1.22,,,REN_01_a,0.231428571,REN_01_a,0.124285714,district heating,DIH_01_r,0.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, load-bearing",139.6459762,IWm_64_a,,,,,,,,electric direct heating,ELE_01_r,0.16,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internal walls, non load-bearing",232.7342446,IWm_19_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,258.5973756,KDo_19_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper floors,258.5973756,GDm_18_a,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Attic floor,258.5973756,GDm_19_a,1.02,REN_03_a,0.225,REN_03_a,0.225,REN_03_a,0.11375,,,,,,,
